# rp wgg wggerr wgp wgperr wgx wgxerr wpp wpperr wxx wxxerr
6.462229999999999919e-01 4.384219999999999828e+01 3.993269999999999875e-01 1.547290000000000054e-01 5.555720000000000103e-02 -8.397989999999999622e-02 5.586460000000000037e-02 3.377070000000000072e-02 1.561769999999999999e-02 2.328229999999999883e-02 1.548790000000000062e-02
1.024189999999999934e+00 4.129769999999999897e+01 2.445380000000000054e-01 2.408170000000000033e-01 3.402840000000000031e-02 8.069200000000000331e-03 3.444799999999999945e-02 3.244040000000000118e-03 9.518449999999999481e-03 -7.640929999999999771e-03 9.809810000000000405e-03
1.623240000000000016e+00 3.882959999999999923e+01 1.496129999999999960e-01 1.636980000000000102e-01 2.080960000000000101e-02 -3.812209999999999904e-02 2.100540000000000046e-02 1.232560000000000079e-02 5.806129999999999625e-03 -1.064889999999999977e-03 5.906159999999999709e-03
2.572659999999999947e+00 3.683469999999999800e+01 9.194470000000000420e-02 1.840390000000000081e-01 1.279959999999999952e-02 -5.529930000000000262e-02 1.292699999999999926e-02 7.357790000000000337e-03 3.577799999999999904e-03 4.126669999999999817e-03 3.639900000000000167e-03
4.077390000000000292e+00 3.459570000000000078e+01 5.622510000000000008e-02 1.401219999999999966e-01 7.824509999999999799e-03 -5.500889999999999946e-02 7.883350000000000773e-03 5.458750000000000061e-03 2.191699999999999985e-03 6.109850000000000003e-03 2.226640000000000216e-03
6.462229999999999919e+00 3.262189999999999657e+01 3.445279999999999870e-02 1.357810000000000128e-01 4.789200000000000401e-03 -5.634759999999999769e-02 4.829230000000000328e-03 5.515169999999999795e-03 1.335260000000000006e-03 4.491450000000000130e-03 1.359270000000000096e-03
1.024189999999999934e+01 3.041019999999999968e+01 2.099399999999999877e-02 1.291210000000000135e-01 2.918599999999999927e-03 -4.243539999999999812e-02 2.941819999999999938e-03 5.623989999999999718e-03 8.146829999999999654e-04 4.555080000000000413e-03 8.283290000000000444e-04
1.623239999999999839e+01 2.796140000000000114e+01 1.270950000000000031e-02 1.252689999999999915e-01 1.762550000000000098e-03 -5.501849999999999796e-02 1.778590000000000032e-03 5.031690000000000121e-03 4.906959999999999924e-04 3.702840000000000211e-03 4.994729999999999526e-04
2.572660000000000124e+01 2.372360000000000113e+01 7.395360000000000128e-03 1.202389999999999987e-01 1.025389999999999939e-03 -4.668769999999999865e-02 1.036110000000000026e-03 4.069119999999999855e-03 2.856180000000000155e-04 3.210760000000000003e-03 2.916920000000000255e-04
4.077389999999999759e+01 1.767200000000000060e+01 4.035160000000000309e-03 8.646579999999999544e-02 5.590319999999999968e-04 -2.534219999999999876e-02 5.656079999999999962e-04 3.001220000000000190e-03 1.559329999999999993e-04 2.135310000000000073e-03 1.595479999999999978e-04
