rp wpp wpperr
6.462229999999999919e-01 3.377070000000000072e-02 1.561769999999999999e-02
1.024189999999999934e+00 3.244040000000000118e-03 9.518449999999999481e-03
1.623240000000000016e+00 1.232560000000000079e-02 5.806129999999999625e-03
2.572659999999999947e+00 7.357790000000000337e-03 3.577799999999999904e-03
4.077390000000000292e+00 5.458750000000000061e-03 2.191699999999999985e-03
6.462229999999999919e+00 5.515169999999999795e-03 1.335260000000000006e-03
1.024189999999999934e+01 5.623989999999999718e-03 8.146829999999999654e-04
1.623239999999999839e+01 5.031690000000000121e-03 4.906959999999999924e-04
2.572660000000000124e+01 4.069119999999999855e-03 2.856180000000000155e-04
4.077389999999999759e+01 3.001220000000000190e-03 1.559329999999999993e-04
